area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Baildon,Dwell Time Distribution,0-30 min,50.0%,44.3%,55.4%
Baildon,Dwell Time Distribution,30-2hrs,35.3%,32.4%,38.0%
Baildon,Dwell Time Distribution,2-4 hrs,6.3%,9.4%,3.3%
Baildon,Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
Baildon,Dwell Time Distribution,6-8 hrs,5.6%,8.1%,3.3%
Baildon,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
Baildon,Dwell Time Distribution,10hrs+,2.8%,5.9%,0.0%
Baildon,Dwell Time by Day of Week,Monday,265.8 minutes,265.8 minutes,0.0 minutes
Baildon,Dwell Time by Day of Week,Tuesday,64.5 minutes,64.5 minutes,0.0 minutes
Baildon,Dwell Time by Day of Week,Wednesday,113.0 minutes,113.0 minutes,0.0 minutes
Baildon,Dwell Time by Day of Week,Thursday,72.5 minutes,72.5 minutes,0.0 minutes
Baildon,Dwell Time by Day of Week,Friday,55.5 minutes,55.5 minutes,0.0 minutes
Baildon,Dwell Time by Day of Week,Saturday,42.4 minutes,0.0 minutes,42.4 minutes
Baildon,Dwell Time by Day of Week,Sunday,69.2 minutes,0.0 minutes,69.2 minutes